IGT Solutions,3.2,3.5k,BPO , New Delhi ,47
Johnson Controls,3.5,3.5k,Industrial Automation , Pune ,58
Alkem Laboratories,3.9,3.5k,Pharma , Mumbai ,200
"NTT DATA, Inc.",3.9,3.5k,IT Services & Consulting , Bengaluru ,36
Honda Motorcycle & Scooter,4.1,3.5k,Automobile , Gurugram ,301
ArcelorMittal Nippon Steel,4.1,3.5k,Iron & Steel , Surat ,86
[24]7.ai,3.4,3.4k,Software Product , Bengaluru ,36
Vishal Mega Mart,3.8,3.4k,Retail , New Delhi ,379
Hindustan Coca Cola Beverages,4.0,3.4k,Beverage , Bengaluru ,264
UBS,3.8,3.4k,Financial Services , Pune ,19
DTDC Express,3.7,3.4k,Logistics , New Delhi ,272
IndusInd Nippon Life Insurance,3.4,3.4k,Mumbai +490 other locations,nan,490
ABB,4.0,3.4k,Industrial Machinery , Bengaluru ,109
Bajaj General Insurance Limited,3.7,3.4k,Insurance , Pune ,304
Barclays,3.8,3.4k,Banking , Pune ,37
Ford Motor,4.2,3.4k,Automobile , Chennai ,131
Ceat Tyres,3.9,3.4k,Auto Components , Nagpur ,142
RSPL Group,4.1,3.3k,FMCG , Kanpur ,256
TVS Credit Services Ltd,4.2,3.3k,NBFC , Chennai ,440
NatWest Group,4.0,3.3k,Banking , Gurugram ,28
AGS Health,4.0,3.3k,Analytics & KPO , Chennai ,64
HARMAN,3.8,3.3k,Consumer Electronics & Appliances , Bengaluru ,42
Croma,3.8,3.3k,Retail , Mumbai ,192
InterGlobe Aviation,3.5,3.3k,Aviation , New Delhi ,105
Conduent,3.4,3.3k,BPO , Bengaluru ,34
Alstom Transportation,3.7,3.3k,Engineering & Construction , Bengaluru ,80
Niva Bupa Health Insurance Company,4.0,3.3k,Insurance , New Delhi ,322
Indian Air Force,4.6,3.2k,Defence & Aerospace , New Delhi ,134
Tata Technologies,3.4,3.2k,Engineering & Construction , Pune ,58
GeBBS Healthcare Solutions,3.8,3.2k,BPO , Mumbai ,25
Tata AIG,4.0,3.2k,Insurance , Mumbai ,260
UPL,4.1,3.2k,Agro Chemicals , Ankleshwar ,185
Allcargo Logistics,3.8,3.2k,Logistics , Mumbai ,175
PepsiCo,4.0,3.2k,Food Processing , Hyderabad ,280
Max Healthcare,4.0,3.1k,Healthcare , New Delhi ,78
Amazon Transportation Services,4.2,3.2k,Logistics , Hyderabad ,226
Dilip Buildcon,3.9,3.1k,Engineering & Construction , Bhopal ,229
Marpu Foundation,4.9,3.1k,Non-Profit , Hyderabad ,61
Titan Company,4.2,3.1k,Retail , Bengaluru ,186
Walmart,3.5,3.1k,Retail , Bengaluru ,91
Mankind Pharma,3.8,3.1k,Pharma , New Delhi ,247
Jindal Stainless,4.2,3.1k,Iron & Steel , Jajpur ,78
